animal_id,cohort,day,trial,source_file,duration_s,primary_latency_s,total_latency_s,primary_errors,total_errors,path_length_cm,mean_speed_cm_s,target_quadrant_time_s,target_quadrant_percent,automatic_strategy,final_strategy,tracking_coverage_percent,manual_correction_count,review_status
,,,,test50.mp4,184.600,93.8,,14,28,1253.7852830989489,6.980987099660072,82.33333333333333,45.84261321455085,random,random,97.29241877256317,0,needs-review
,,,,test51.mp4,49.383,35.96926666666667,,9,9,217.57802025036344,4.4059593160291755,18.685333333333332,37.83783783783783,random,random,100,0,needs-review
,,,,test53.mp4,30.133,24.866666666666667,,2,2,105.52461561712477,4.1985921333073515,25.133333333333333,100,random,random,83.44370860927152,0,needs-review
